,nominees,details,imdb_urls,award_show,year,award,winner,ref_year
2,Catherine Keener,Being John Malkovich,https://www.imdb.com//name/nm0001416/?ref_=ev_nom,SAG,2000,Outstanding Performance by a Female Actor in a Supporting Role,0,21
3,Chloë Sevigny,Boys Don't Cry,https://www.imdb.com//name/nm0001721/?ref_=ev_nom,SAG,2000,Outstanding Performance by a Female Actor in a Supporting Role,0,21
4,Julianne Moore,Magnolia,https://www.imdb.com//name/nm0000194/?ref_=ev_nom,SAG,2000,Outstanding Performance by a Female Actor in a Supporting Role,0,21
0,Halle Berry,Introducing Dorothy Dandridge,https://www.imdb.com//name/nm0000932/?ref_=ev_nom,SAG,2000,Outstanding Performance by a Female Actor in a Television Movie or Miniseries,1,21
1,Helen Mirren,The Passion of Ayn Rand,https://www.imdb.com//name/nm0000545/?ref_=ev_nom,SAG,2000,Outstanding Performance by a Female Actor in a Television Movie or Miniseries,0,21
2,Judy Davis,A Cooler Climate,https://www.imdb.com//name/nm0001114/?ref_=ev_nom,SAG,2000,Outstanding Performance by a Female Actor in a Television Movie or Miniseries,0,21
3,Kathy Bates,Annie,https://www.imdb.com//name/nm0000870/?ref_=ev_nom,SAG,2000,Outstanding Performance by a Female Actor in a Television Movie or Miniseries,0,21
4,Sally Field,A Cooler Climate,https://www.imdb.com//name/nm0000398/?ref_=ev_nom,SAG,2000,Outstanding Performance by a Female Actor in a Television Movie or Miniseries,0,21
0,Michael J. Fox,Spin City,https://www.imdb.com//name/nm0000150/?ref_=ev_nom,SAG,2000,Outstanding Performance by a Male Actor in a Comedy Series,1,21
1,David Hyde Pierce,Frasier,https://www.imdb.com//name/nm0001383/?ref_=ev_nom,SAG,2000,Outstanding Performance by a Male Actor in a Comedy Series,0,21
2,Kelsey Grammer,Frasier,https://www.imdb.com//name/nm0001288/?ref_=ev_nom,SAG,2000,Outstanding Performance by a Male Actor in a Comedy Series,0,21
3,Peter MacNicol,Ally McBeal,https://www.imdb.com//name/nm0001493/?ref_=ev_nom,SAG,2000,Outstanding Performance by a Male Actor in a Comedy Series,0,21
4,Ray Romano,Everybody Loves Raymond,https://www.imdb.com//name/nm0005380/?ref_=ev_nom,SAG,2000,Outstanding Performance by a Male Actor in a Comedy Series,0,21
0,James Gandolfini,The Sopranos,https://www.imdb.com//name/nm0001254/?ref_=ev_nom,SAG,2000,Outstanding Performance by a Male Actor in a Drama Series,1,21
1,David Duchovny,The X-Files,https://www.imdb.com//name/nm0000141/?ref_=ev_nom,SAG,2000,Outstanding Performance by a Male Actor in a Drama Series,0,21
2,Dennis Franz,NYPD Blue,https://www.imdb.com//name/nm0001240/?ref_=ev_nom,SAG,2000,Outstanding Performance by a Male Actor in a Drama Series,0,21
3,Martin Sheen,The West Wing,https://www.imdb.com//name/nm0000640/?ref_=ev_nom,SAG,2000,Outstanding Performance by a Male Actor in a Drama Series,0,21
4,Ricky Schroder,NYPD Blue,https://www.imdb.com//name/nm0005401/?ref_=ev_nom,SAG,2000,Outstanding Performance by a Male Actor in a Drama Series,0,21
0,Kevin Spacey,American Beauty,https://www.imdb.com//name/nm0000228/?ref_=ev_nom,SAG,2000,Outstanding Performance by a Male Actor in a Leading Role,1,21
1,Denzel Washington,The Hurricane,https://www.imdb.com//name/nm0000243/?ref_=ev_nom,SAG,2000,Outstanding Performance by a Male Actor in a Leading Role,0,21
2,Jim Carrey,Man on the Moon,https://www.imdb.com//name/nm0000120/?ref_=ev_nom,SAG,2000,Outstanding Performance by a Male Actor in a Leading Role,0,21
3,Philip Seymour Hoffman,Flawless,https://www.imdb.com//name/nm0000450/?ref_=ev_nom,SAG,2000,Outstanding Performance by a Male Actor in a Leading Role,0,21
4,Russell Crowe,The Insider,https://www.imdb.com//name/nm0000128/?ref_=ev_nom,SAG,2000,Outstanding Performance by a Male Actor in a Leading Role,0,21
0,Michael Caine,The Cider House Rules,https://www.imdb.com//name/nm0000323/?ref_=ev_nom,SAG,2000,Outstanding Performance by a Male Actor in a Supporting Role,1,21
1,Chris Cooper,American Beauty,https://www.imdb.com//name/nm0177933/?ref_=ev_nom,SAG,2000,Outstanding Performance by a Male Actor in a Supporting Role,0,21
2,Haley Joel Osment,The Sixth Sense,https://www.imdb.com//name/nm0005286/?ref_=ev_nom,SAG,2000,Outstanding Performance by a Male Actor in a Supporting Role,0,21
3,Michael Clarke Duncan,The Green Mile,https://www.imdb.com//name/nm0003817/?ref_=ev_nom,SAG,2000,Outstanding Performance by a Male Actor in a Supporting Role,0,21
4,Tom Cruise,Magnolia,https://www.imdb.com//name/nm0000129/?ref_=ev_nom,SAG,2000,Outstanding Performance by a Male Actor in a Supporting Role,0,21
0,Jack Lemmon,Tuesdays with Morrie,https://www.imdb.com//name/nm0000493/?ref_=ev_nom,SAG,2000,Outstanding Performance by a Male Actor in a Television Movie or Miniseries,1,21
1,George C. Scott,Inherit the Wind,https://www.imdb.com//name/nm0001715/?ref_=ev_nom,SAG,2000,Outstanding Performance by a Male Actor in a Television Movie or Miniseries,0,21
2,Hank Azaria,Tuesdays with Morrie,https://www.imdb.com//name/nm0000279/?ref_=ev_nom,SAG,2000,Outstanding Performance by a Male Actor in a Television Movie or Miniseries,0,21
3,Patrick Stewart,A Christmas Carol,https://www.imdb.com//name/nm0001772/?ref_=ev_nom,SAG,2000,Outstanding Performance by a Male Actor in a Television Movie or Miniseries,0,21
4,Peter Fonda,The Passion of Ayn Rand,https://www.imdb.com//name/nm0001228/?ref_=ev_nom,SAG,2000,Outstanding Performance by a Male Actor in a Television Movie or Miniseries,0,21
0,Frasier,"Peri Gilpin, Kelsey Grammer, Jane Leeves, John Mahoney, David Hyde Pierce",https://www.imdb.com//title/tt0106004/?ref_=ev_nom,SAG,2000,Outstanding Performance by an Ensemble in a Comedy Series,1,21
1,Ally McBeal,"Gil Bellows, Lisa Nicole Carson, Portia de Rossi, Calista Flockhart, Greg Germann, Jane Krakowski, Lucy Liu, Peter MacNicol, Vonda Shepard, Courtney Thorne-Smith",https://www.imdb.com//title/tt0118254/?ref_=ev_nom,SAG,2000,Outstanding Performance by an Ensemble in a Comedy Series,0,21
2,Everybody Loves Raymond,"Peter Boyle, Brad Garrett, Patricia Heaton, Doris Roberts, Ray Romano, Madylin Sweeten",https://www.imdb.com//title/tt0115167/?ref_=ev_nom,SAG,2000,Outstanding Performance by an Ensemble in a Comedy Series,0,21
3,Friends,"Jennifer Aniston, Courteney Cox, Lisa Kudrow, Matt LeBlanc, Matthew Perry, David Schwimmer",https://www.imdb.com//title/tt0108778/?ref_=ev_nom,SAG,2000,Outstanding Performance by an Ensemble in a Comedy Series,0,21
4,Sports Night,"Josh Charles, Robert Guillaume, Felicity Huffman, Peter Krause, Sabrina Lloyd, Joshua Malina",https://www.imdb.com//title/tt0165961/?ref_=ev_nom,SAG,2000,Outstanding Performance by an Ensemble in a Comedy Series,0,21
0,The Sopranos,"Lorraine Bracco, Dominic Chianese, Edie Falco, James Gandolfini, Robert Iler, Michael Imperioli, Nancy Marchand, Vincent Pastore, Jamie-Lynn Sigler, Tony Sirico, Steven Van Zandt",https://www.imdb.com//title/tt0141842/?ref_=ev_nom,SAG,2000,Outstanding Performance by an Ensemble in a Drama Series,1,21
1,ER,"Anthony Edwards, Laura Innes, Alex Kingston, Eriq La Salle, Julianna Margulies, Kellie Martin, Paul McCrane, Michael Michele, Erik Palladino, Gloria Reuben, Goran Visnjic, Noah Wyle",https://www.imdb.com//title/tt0108757/?ref_=ev_nom,SAG,2000,Outstanding Performance by an Ensemble in a Drama Series,0,21
2,Law & Order,"Benjamin Bratt, Angie Harmon, Steven Hill, Jesse L. Martin, Carey Lowell, S. Epatha Merkerson, Jerry Orbach, Sam Waterston",https://www.imdb.com//title/tt0098844/?ref_=ev_nom,SAG,2000,Outstanding Performance by an Ensemble in a Drama Series,0,21
3,NYPD Blue,"Bill Brochtrup, Gordon Clapp, Kim Delaney, Dennis Franz, James McDaniel, Ricky Schroder, Andrea Thompson, Nicholas Turturro",https://www.imdb.com//title/tt0106079/?ref_=ev_nom,SAG,2000,Outstanding Performance by an Ensemble in a Drama Series,0,21
4,The Practice,"Michael Badalucco, Lara Flynn Boyle, LisaGay Hamilton, Steve Harris, Camryn Manheim, Dylan McDermott, Marla Sokoloff, Kelli Williams",https://www.imdb.com//title/tt0118437/?ref_=ev_nom,SAG,2000,Outstanding Performance by an Ensemble in a Drama Series,0,21
0,Shakespeare in Love,"Ben Affleck, Simon Callow, Jim Carter, Martin Clunes, Judi Dench, Joseph Fiennes, Colin Firth, Gwyneth Paltrow, Geoffrey Rush, Antony Sher, Imelda Staunton, Tom Wilkinson, Mark Williams",https://www.imdb.com//title/tt0138097/?ref_=ev_nom,SAG,1999,Outstanding Performance by a Cast,1,22
1,Life Is Beautiful,"Roberto Benigni, Nicoletta Braschi, Horst Buchholz, Sergio Bini Bustric, Giorgio Cantarini, Giustino Durano, Amerigo Fontani, Giuliana Lojodice, Marisa Paredes",https://www.imdb.com//title/tt0118799/?ref_=ev_nom,SAG,1999,Outstanding Performance by a Cast,0,22
2,Little Voice,"Annette Badland, Brenda Blethyn, Jim Broadbent, Michael Caine, Jane Horrocks, Philip Jackson, Ewan McGregor",https://www.imdb.com//title/tt0147004/?ref_=ev_nom,SAG,1999,Outstanding Performance by a Cast,0,22
3,Saving Private Ryan,"Edward Burns, Matt Damon, Jeremy Davies, Vin Diesel, Adam Goldberg, Tom Hanks, Barry Pepper, Giovanni Ribisi, Tom Sizemore",https://www.imdb.com//title/tt0120815/?ref_=ev_nom,SAG,1999,Outstanding Performance by a Cast,0,22
4,Waking Ned Devine,"Ian Bannen, Fionnula Flanagan, David Kelly, Susan Lynch, James Nesbitt",https://www.imdb.com//title/tt0166396/?ref_=ev_nom,SAG,1999,Outstanding Performance by a Cast,0,22
0,Tracey Ullman,Tracey Takes On...,https://www.imdb.com//name/nm0001808/?ref_=ev_nom,SAG,1999,Outstanding Performance by a Female Actor in a Comedy Series,1,22
1,Amy Pietz,Caroline in the City,https://www.imdb.com//name/nm0682970/?ref_=ev_nom,SAG,1999,Outstanding Performance by a Female Actor in a Comedy Series,0,22
2,Calista Flockhart,Ally McBeal,https://www.imdb.com//name/nm0001222/?ref_=ev_nom,SAG,1999,Outstanding Performance by a Female Actor in a Comedy Series,0,22
3,Julia Louis-Dreyfus,Seinfeld,https://www.imdb.com//name/nm0000506/?ref_=ev_nom,SAG,1999,Outstanding Performance by a Female Actor in a Comedy Series,0,22
4,Lisa Kudrow,Friends,https://www.imdb.com//name/nm0001435/?ref_=ev_nom,SAG,1999,Outstanding Performance by a Female Actor in a Comedy Series,0,22
0,Julianna Margulies,ER,https://www.imdb.com//name/nm0000523/?ref_=ev_nom,SAG,1999,Outstanding Performance by a Female Actor in a Drama Series,1,22
1,Annie Potts,Any Day Now,https://www.imdb.com//name/nm0001633/?ref_=ev_nom,SAG,1999,Outstanding Performance by a Female Actor in a Drama Series,0,22
2,Christine Lahti,Chicago Hope,https://www.imdb.com//name/nm0001441/?ref_=ev_nom,SAG,1999,Outstanding Performance by a Female Actor in a Drama Series,0,22
3,Gillian Anderson,The X-Files,https://www.imdb.com//name/nm0000096/?ref_=ev_nom,SAG,1999,Outstanding Performance by a Female Actor in a Drama Series,0,22
4,Kim Delaney,NYPD Blue,https://www.imdb.com//name/nm0001126/?ref_=ev_nom,SAG,1999,Outstanding Performance by a Female Actor in a Drama Series,0,22
0,Gwyneth Paltrow,Shakespeare in Love,https://www.imdb.com//name/nm0000569/?ref_=ev_nom,SAG,1999,Outstanding Performance by a Female Actor in a Leading Role,1,22
1,Cate Blanchett,Elizabeth,https://www.imdb.com//name/nm0000949/?ref_=ev_nom,SAG,1999,Outstanding Performance by a Female Actor in a Leading Role,0,22
2,Emily Watson,Hilary and Jackie,https://www.imdb.com//name/nm0001833/?ref_=ev_nom,SAG,1999,Outstanding Performance by a Female Actor in a Leading Role,0,22
3,Jane Horrocks,Little Voice,https://www.imdb.com//name/nm0001363/?ref_=ev_nom,SAG,1999,Outstanding Performance by a Female Actor in a Leading Role,0,22
4,Meryl Streep,One True Thing,https://www.imdb.com//name/nm0000658/?ref_=ev_nom,SAG,1999,Outstanding Performance by a Female Actor in a Leading Role,0,22
0,Kathy Bates,Primary Colors,https://www.imdb.com//name/nm0000870/?ref_=ev_nom,SAG,1999,Outstanding Performance by a Female Actor in a Supporting Role,1,22
1,Brenda Blethyn,Little Voice,https://www.imdb.com//name/nm0000950/?ref_=ev_nom,SAG,1999,Outstanding Performance by a Female Actor in a Supporting Role,0,22
2,Judi Dench,Shakespeare in Love,https://www.imdb.com//name/nm0001132/?ref_=ev_nom,SAG,1999,Outstanding Performance by a Female Actor in a Supporting Role,0,22
3,Lynn Redgrave,Gods and Monsters,https://www.imdb.com//name/nm0001655/?ref_=ev_nom,SAG,1999,Outstanding Performance by a Female Actor in a Supporting Role,0,22
4,Rachel Griffiths,Hilary and Jackie,https://www.imdb.com//name/nm0341737/?ref_=ev_nom,SAG,1999,Outstanding Performance by a Female Actor in a Supporting Role,0,22
0,Angelina Jolie,Gia,https://www.imdb.com//name/nm0001401/?ref_=ev_nom,SAG,1999,Outstanding Performance by a Female Actor in a TV Movie or Miniseries,1,22
1,Ann-Margret,Life of the Party: The Pamela Harriman Story,https://www.imdb.com//name/nm0000268/?ref_=ev_nom,SAG,1999,Outstanding Performance by a Female Actor in a TV Movie or Miniseries,0,22
2,Mary Steenburgen,About Sarah,https://www.imdb.com//name/nm0005460/?ref_=ev_nom,SAG,1999,Outstanding Performance by a Female Actor in a TV Movie or Miniseries,0,22
3,Olympia Dukakis,More Tales of the City,https://www.imdb.com//name/nm0001156/?ref_=ev_nom,SAG,1999,Outstanding Performance by a Female Actor in a TV Movie or Miniseries,0,22
4,Stockard Channing,The Baby Dance,https://www.imdb.com//name/nm0000330/?ref_=ev_nom,SAG,1999,Outstanding Performance by a Female Actor in a TV Movie or Miniseries,0,22
0,Michael J. Fox,Spin City,https://www.imdb.com//name/nm0000150/?ref_=ev_nom,SAG,1999,Outstanding Performance by a Male Actor in a Comedy Series,1,22
1,David Hyde Pierce,Frasier,https://www.imdb.com//name/nm0001383/?ref_=ev_nom,SAG,1999,Outstanding Performance by a Male Actor in a Comedy Series,0,22
2,Jason Alexander,Seinfeld,https://www.imdb.com//name/nm0004517/?ref_=ev_nom,SAG,1999,Outstanding Performance by a Male Actor in a Comedy Series,0,22
3,Kelsey Grammer,Frasier,https://www.imdb.com//name/nm0001288/?ref_=ev_nom,SAG,1999,Outstanding Performance by a Male Actor in a Comedy Series,0,22
4,Peter MacNicol,Ally McBeal,https://www.imdb.com//name/nm0001493/?ref_=ev_nom,SAG,1999,Outstanding Performance by a Male Actor in a Comedy Series,0,22
0,Sam Waterston,Law & Order,https://www.imdb.com//name/nm0001832/?ref_=ev_nom,SAG,1999,Outstanding Performance by a Male Actor in a Drama Series,1,22
1,Anthony Edwards,ER,https://www.imdb.com//name/nm0000381/?ref_=ev_nom,SAG,1999,Outstanding Performance by a Male Actor in a Drama Series,0,22
2,David Duchovny,The X-Files,https://www.imdb.com//name/nm0000141/?ref_=ev_nom,SAG,1999,Outstanding Performance by a Male Actor in a Drama Series,0,22
3,Dennis Franz,NYPD Blue,https://www.imdb.com//name/nm0001240/?ref_=ev_nom,SAG,1999,Outstanding Performance by a Male Actor in a Drama Series,0,22
4,Jimmy Smits,NYPD Blue,https://www.imdb.com//name/nm0001751/?ref_=ev_nom,SAG,1999,Outstanding Performance by a Male Actor in a Drama Series,0,22
0,Roberto Benigni,Life Is Beautiful,https://www.imdb.com//name/nm0000905/?ref_=ev_nom,SAG,1999,Outstanding Performance by a Male Actor in a Leading Role,1,22
1,Ian McKellen,Gods and Monsters,https://www.imdb.com//name/nm0005212/?ref_=ev_nom,SAG,1999,Outstanding Performance by a Male Actor in a Leading Role,0,22
2,Joseph Fiennes,Shakespeare in Love,https://www.imdb.com//name/nm0001212/?ref_=ev_nom,SAG,1999,Outstanding Performance by a Male Actor in a Leading Role,0,22
3,Nick Nolte,Affliction,https://www.imdb.com//name/nm0000560/?ref_=ev_nom,SAG,1999,Outstanding Performance by a Male Actor in a Leading Role,0,22
4,Tom Hanks,Saving Private Ryan,https://www.imdb.com//name/nm0000158/?ref_=ev_nom,SAG,1999,Outstanding Performance by a Male Actor in a Leading Role,0,22
0,Robert Duvall,A Civil Action,https://www.imdb.com//name/nm0000380/?ref_=ev_nom,SAG,1999,Outstanding Performance by a Male Actor in a Supporting Role,1,22
1,Billy Bob Thornton,A Simple Plan,https://www.imdb.com//name/nm0000671/?ref_=ev_nom,SAG,1999,Outstanding Performance by a Male Actor in a Supporting Role,0,22
2,David Kelly,Waking Ned Devine,https://www.imdb.com//name/nm0446303/?ref_=ev_nom,SAG,1999,Outstanding Performance by a Male Actor in a Supporting Role,0,22
3,Geoffrey Rush,Shakespeare in Love,https://www.imdb.com//name/nm0001691/?ref_=ev_nom,SAG,1999,Outstanding Performance by a Male Actor in a Supporting Role,0,22
4,James Coburn,Affliction,https://www.imdb.com//name/nm0000336/?ref_=ev_nom,SAG,1999,Outstanding Performance by a Male Actor in a Supporting Role,0,22
0,Christopher Reeve,Rear Window,https://www.imdb.com//name/nm0001659/?ref_=ev_nom,SAG,1999,Outstanding Performance by a Male Actor in a TV Movie or Miniseries,1,22
1,Ben Kingsley,The Tale of Sweeney Todd,https://www.imdb.com//name/nm0001426/?ref_=ev_nom,SAG,1999,Outstanding Performance by a Male Actor in a TV Movie or Miniseries,0,22
2,Charles S. Dutton,Blind Faith,https://www.imdb.com//name/nm0001165/?ref_=ev_nom,SAG,1999,Outstanding Performance by a Male Actor in a TV Movie or Miniseries,0,22
3,James Garner,Legalese,https://www.imdb.com//name/nm0001258/?ref_=ev_nom,SAG,1999,Outstanding Performance by a Male Actor in a TV Movie or Miniseries,0,22
4,Ray Liotta,The Rat Pack,https://www.imdb.com//name/nm0000501/?ref_=ev_nom,SAG,1999,Outstanding Performance by a Male Actor in a TV Movie or Miniseries,0,22
5,Stanley Tucci,Winchell,https://www.imdb.com//name/nm0001804/?ref_=ev_nom,SAG,1999,Outstanding Performance by a Male Actor in a TV Movie or Miniseries,0,22
0,Ally McBeal,"Gil Bellows, Lisa Nicole Carson, Portia de Rossi, Calista Flockhart, Greg Germann, Jane Krakowski, Lucy Liu, Peter MacNicol, Vonda Shepard, Courtney Thorne-Smith",https://www.imdb.com//title/tt0118254/?ref_=ev_nom,SAG,1999,Outstanding Performance by an Ensemble in a Comedy Series,1,22
1,3rd Rock from the Sun,"Jane Curtin, Joseph Gordon-Levitt, Kristen Johnston, Simbi Kali, Wayne Knight, John Lithgow, French Stewart, Elmarie Wendel",https://www.imdb.com//title/tt0115082/?ref_=ev_nom,SAG,1999,Outstanding Performance by an Ensemble in a Comedy Series,0,22
2,Everybody Loves Raymond,"Peter Boyle, Brad Garrett, Patricia Heaton, Doris Roberts, Ray Romano, Madylin Sweeten",https://www.imdb.com//title/tt0115167/?ref_=ev_nom,SAG,1999,Outstanding Performance by an Ensemble in a Comedy Series,0,22
3,Frasier,"Peri Gilpin, Kelsey Grammer, Jane Leeves, John Mahoney, David Hyde Pierce",https://www.imdb.com//title/tt0106004/?ref_=ev_nom,SAG,1999,Outstanding Performance by an Ensemble in a Comedy Series,0,22
4,Friends,"Jennifer Aniston, Courteney Cox, Lisa Kudrow, Matt LeBlanc, Matthew Perry, David Schwimmer",https://www.imdb.com//title/tt0108778/?ref_=ev_nom,SAG,1999,Outstanding Performance by an Ensemble in a Comedy Series,0,22
0,ER,"George Clooney, Anthony Edwards, Laura Innes, Alex Kingston, Eriq La Salle, Julianna Margulies, Kellie Martin, Paul McCrane, Gloria Reuben, Noah Wyle",https://www.imdb.com//title/tt0108757/?ref_=ev_nom,SAG,1999,Outstanding Performance by an Ensemble in a Drama Series,1,22
1,Law & Order,"Benjamin Bratt, Angie Harmon, Steven Hill, Carey Lowell, S. Epatha Merkerson, Jerry Orbach, Sam Waterston",https://www.imdb.com//title/tt0098844/?ref_=ev_nom,SAG,1999,Outstanding Performance by an Ensemble in a Drama Series,0,22
2,NYPD Blue,"Gordon Clapp, Kim Delaney, Dennis Franz, Sharon Lawrence, James McDaniel, Jimmy Smits, Andrea Thompson, Nicholas Turturro",https://www.imdb.com//title/tt0106079/?ref_=ev_nom,SAG,1999,Outstanding Performance by an Ensemble in a Drama Series,0,22
3,The Practice,"Michael Badalucco, Lara Flynn Boyle, LisaGay Hamilton, Steve Harris, Camryn Manheim, Dylan McDermott, Marla Sokoloff, Kelli Williams",https://www.imdb.com//title/tt0118437/?ref_=ev_nom,SAG,1999,Outstanding Performance by an Ensemble in a Drama Series,0,22
4,The X-Files,"Gillian Anderson, William B. Davis, David Duchovny, Chris Owens, James Pickens Jr., Mitch Pileggi",https://www.imdb.com//title/tt0106179/?ref_=ev_nom,SAG,1999,Outstanding Performance by an Ensemble in a Drama Series,0,22
0,The Full Monty,"Mark Addy, Paul Barber, Robert Carlyle, Deirdre Costello, Steve Huison, Bruce Jones, Lesley Sharp, Wim Snape, Hugo Speer, Tom Wilkinson, Emily Woof",https://www.imdb.com//title/tt0119164/?ref_=ev_nom,SAG,1998,Outstanding Performance by a Cast,1,23
1,Boogie Nights,"Don Cheadle, Heather Graham, Luis Guzmán, Philip Baker Hall, Philip Seymour Hoffman, Thomas Jane, Ricky Jay, William H. Macy, Alfred Molina, Julianne Moore, Nicole Ari Parker, John C. Reilly, Burt Reynolds, Robert Ridgely, Mark Wahlberg, Melora Walters",https://www.imdb.com//title/tt0118749/?ref_=ev_nom,SAG,1998,Outstanding Performance by a Cast,0,23
2,Good Will Hunting,"Ben Affleck, Matt Damon, Minnie Driver, Stellan Skarsgård, Robin Williams",https://www.imdb.com//title/tt0119217/?ref_=ev_nom,SAG,1998,Outstanding Performance by a Cast,0,23
3,L.A. Confidential,"Kim Basinger, James Cromwell, Russell Crowe, Danny DeVito, Guy Pearce, Kevin Spacey, David Strathairn",https://www.imdb.com//title/tt0119488/?ref_=ev_nom,SAG,1998,Outstanding Performance by a Cast,0,23
4,Titanic,"Suzy Amis, Kathy Bates, Leonardo DiCaprio, Frances Fisher, Victor Garber, Bernard Hill, Jonathan Hyde, Bill Paxton, Gloria Stuart, David Warner, Kate Winslet, Billy Zane, Danny Nucci, Bernard Fox",https://www.imdb.com//title/tt0120338/?ref_=ev_nom,SAG,1998,Outstanding Performance by a Cast,0,23
0,Julia Louis-Dreyfus,Seinfeld,https://www.imdb.com//name/nm0000506/?ref_=ev_nom,SAG,1998,Outstanding Performance by a Female Actor in a Comedy Series,1,23
1,Calista Flockhart,Ally McBeal,https://www.imdb.com//name/nm0001222/?ref_=ev_nom,SAG,1998,Outstanding Performance by a Female Actor in a Comedy Series,0,23
2,Ellen DeGeneres,Ellen,https://www.imdb.com//name/nm0001122/?ref_=ev_nom,SAG,1998,Outstanding Performance by a Female Actor in a Comedy Series,0,23
3,Helen Hunt,Mad About You,https://www.imdb.com//name/nm0000166/?ref_=ev_nom,SAG,1998,Outstanding Performance by a Female Actor in a Comedy Series,0,23
4,Kirstie Alley,Veronica's Closet,https://www.imdb.com//name/nm0000263/?ref_=ev_nom,SAG,1998,Outstanding Performance by a Female Actor in a Comedy Series,0,23
0,Julianna Margulies,ER,https://www.imdb.com//name/nm0000523/?ref_=ev_nom,SAG,1998,Outstanding Performance by a Female Actor in a Drama Series,1,23
1,Christine Lahti,Chicago Hope,https://www.imdb.com//name/nm0001441/?ref_=ev_nom,SAG,1998,Outstanding Performance by a Female Actor in a Drama Series,0,23
2,Della Reese,Touched by an Angel,https://www.imdb.com//name/nm0005343/?ref_=ev_nom,SAG,1998,Outstanding Performance by a Female Actor in a Drama Series,0,23
3,Gillian Anderson,The X-Files,https://www.imdb.com//name/nm0000096/?ref_=ev_nom,SAG,1998,Outstanding Performance by a Female Actor in a Drama Series,0,23
4,Kim Delaney,NYPD Blue,https://www.imdb.com//name/nm0001126/?ref_=ev_nom,SAG,1998,Outstanding Performance by a Female Actor in a Drama Series,0,23
0,Helen Hunt,As Good as It Gets,https://www.imdb.com//name/nm0000166/?ref_=ev_nom,SAG,1998,Outstanding Performance by a Female Actor in a Leading Role,1,23
1,Helena Bonham Carter,The Wings of the Dove,https://www.imdb.com//name/nm0000307/?ref_=ev_nom,SAG,1998,Outstanding Performance by a Female Actor in a Leading Role,0,23
2,Judi Dench,Mrs Brown,https://www.imdb.com//name/nm0001132/?ref_=ev_nom,SAG,1998,Outstanding Performance by a Female Actor in a Leading Role,0,23
3,Kate Winslet,Titanic,https://www.imdb.com//name/nm0000701/?ref_=ev_nom,SAG,1998,Outstanding Performance by a Female Actor in a Leading Role,0,23
4,Pam Grier,Jackie Brown,https://www.imdb.com//name/nm0000427/?ref_=ev_nom,SAG,1998,Outstanding Performance by a Female Actor in a Leading Role,0,23
5,Robin Wright,She's So Lovely,https://www.imdb.com//name/nm0000705/?ref_=ev_nom,SAG,1998,Outstanding Performance by a Female Actor in a Leading Role,0,23
0,Gloria Stuart,Titanic,https://www.imdb.com//name/nm0001784/?ref_=ev_nom,SAG,1998,Outstanding Performance by a Female Actor in a Supporting Role,1,23
1,Kim Basinger,L.A. Confidential,https://www.imdb.com//name/nm0000107/?ref_=ev_nom,SAG,1998,Outstanding Performance by a Female Actor in a Supporting Role,0,23
2,Alison Elliott,The Wings of the Dove,https://www.imdb.com//name/nm0254362/?ref_=ev_nom,SAG,1998,Outstanding Performance by a Female Actor in a Supporting Role,0,23
3,Julianne Moore,Boogie Nights,https://www.imdb.com//name/nm0000194/?ref_=ev_nom,SAG,1998,Outstanding Performance by a Female Actor in a Supporting Role,0,23
4,Minnie Driver,Good Will Hunting,https://www.imdb.com//name/nm0000378/?ref_=ev_nom,SAG,1998,Outstanding Performance by a Female Actor in a Supporting Role,0,23
0,Alfre Woodard,Miss Evers' Boys,https://www.imdb.com//name/nm0005569/?ref_=ev_nom,SAG,1998,Outstanding Performance by a Female Actor in a TV Movie or Miniseries,1,23
1,Faye Dunaway,The Twilight of the Golds,https://www.imdb.com//name/nm0001159/?ref_=ev_nom,SAG,1998,Outstanding Performance by a Female Actor in a TV Movie or Miniseries,0,23
2,Glenn Close,In the Gloaming,https://www.imdb.com//name/nm0000335/?ref_=ev_nom,SAG,1998,Outstanding Performance by a Female Actor in a TV Movie or Miniseries,0,23
3,Mare Winningham,George Wallace,https://www.imdb.com//name/nm0001858/?ref_=ev_nom,SAG,1998,Outstanding Performance by a Female Actor in a TV Movie or Miniseries,0,23
4,Sigourney Weaver,Snow White: A Tale of Terror,https://www.imdb.com//name/nm0000244/?ref_=ev_nom,SAG,1998,Outstanding Performance by a Female Actor in a TV Movie or Miniseries,0,23
0,John Lithgow,3rd Rock from the Sun,https://www.imdb.com//name/nm0001475/?ref_=ev_nom,SAG,1998,Outstanding Performance by a Male Actor in a Comedy Series,1,23
1,David Hyde Pierce,Frasier,https://www.imdb.com//name/nm0001383/?ref_=ev_nom,SAG,1998,Outstanding Performance by a Male Actor in a Comedy Series,0,23
2,Jason Alexander,Seinfeld,https://www.imdb.com//name/nm0004517/?ref_=ev_nom,SAG,1998,Outstanding Performance by a Male Actor in a Comedy Series,0,23
3,Kelsey Grammer,Frasier,https://www.imdb.com//name/nm0001288/?ref_=ev_nom,SAG,1998,Outstanding Performance by a Male Actor in a Comedy Series,0,23
4,Michael Richards,Seinfeld,https://www.imdb.com//name/nm0724245/?ref_=ev_nom,SAG,1998,Outstanding Performance by a Male Actor in a Comedy Series,0,23
0,Anthony Edwards,ER,https://www.imdb.com//name/nm0000381/?ref_=ev_nom,SAG,1998,Outstanding Performance by a Male Actor in a Drama Series,1,23
