,nominees,details,imdb_urls,award_show,year,award,winner,ref_year
2,Emily Watson,Chernobyl,https://www.imdb.com//name/nm0001833/?ref_=ev_nom,Satellite,2019,"Best Actress in a Supporting Role in a Series, Miniseries & Limited Series or a Motion Picture Made for Television",0,1
3,Meryl Streep,Big Little Lies,https://www.imdb.com//name/nm0000658/?ref_=ev_nom,Satellite,2019,"Best Actress in a Supporting Role in a Series, Miniseries & Limited Series or a Motion Picture Made for Television",0,1
4,Naomi Watts,The Loudest Voice,https://www.imdb.com//name/nm0915208/?ref_=ev_nom,Satellite,2019,"Best Actress in a Supporting Role in a Series, Miniseries & Limited Series or a Motion Picture Made for Television",0,1
5,Patricia Arquette,The Act,https://www.imdb.com//name/nm0000099/?ref_=ev_nom,Satellite,2019,"Best Actress in a Supporting Role in a Series, Miniseries & Limited Series or a Motion Picture Made for Television",0,1
6,Toni Collette,Unbelievable,https://www.imdb.com//name/nm0001057/?ref_=ev_nom,Satellite,2019,"Best Actress in a Supporting Role in a Series, Miniseries & Limited Series or a Motion Picture Made for Television",0,1
0,Motherless Brooklyn,"Beth Mickle, Michael Ahern",https://www.imdb.com//title/tt0385887/?ref_=ev_nom,Satellite,2019,Best Art Direction & Production Design,1,1
1,1917,"Dennis Gassner, Lee Sandales",https://www.imdb.com//title/tt8579674/?ref_=ev_nom,Satellite,2019,Best Art Direction & Production Design,0,1
2,Ford v Ferrari,"François Audouy, Peter Lando",https://www.imdb.com//title/tt1950186/?ref_=ev_nom,Satellite,2019,Best Art Direction & Production Design,0,1
3,Joker,"Mark Friedberg, Laura Ballinger",https://www.imdb.com//title/tt7286456/?ref_=ev_nom,Satellite,2019,Best Art Direction & Production Design,0,1
4,Once Upon a Time... in Hollywood,"Barbara Ling, Nancy Haigh",https://www.imdb.com//title/tt7131622/?ref_=ev_nom,Satellite,2019,Best Art Direction & Production Design,0,1
5,The Two Popes,"Mark Tildesley, Saverio Sammali",https://www.imdb.com//title/tt8404614/?ref_=ev_nom,Satellite,2019,Best Art Direction & Production Design,0,1
0,1917,Roger Deakins,https://www.imdb.com//title/tt8579674/?ref_=ev_nom,Satellite,2019,Best Cinematography,1,1
1,Ford v Ferrari,Phedon Papamichael,https://www.imdb.com//title/tt1950186/?ref_=ev_nom,Satellite,2019,Best Cinematography,0,1
2,Joker,Lawrence Sher,https://www.imdb.com//title/tt7286456/?ref_=ev_nom,Satellite,2019,Best Cinematography,0,1
3,Motherless Brooklyn,Dick Pope,https://www.imdb.com//title/tt0385887/?ref_=ev_nom,Satellite,2019,Best Cinematography,0,1
4,Rocketman,George Richmond,https://www.imdb.com//title/tt2066051/?ref_=ev_nom,Satellite,2019,Best Cinematography,0,1
5,The Irishman,Rodrigo Prieto,https://www.imdb.com//title/tt1302006/?ref_=ev_nom,Satellite,2019,Best Cinematography,0,1
0,Dolemite Is My Name,Ruth E. Carter,https://www.imdb.com//title/tt8526872/?ref_=ev_nom,Satellite,2019,Best Costume Design,1,1
1,Downton Abbey,Anna Robbins,https://www.imdb.com//title/tt6398184/?ref_=ev_nom,Satellite,2019,Best Costume Design,0,1
2,Joker,Mark Bridges,https://www.imdb.com//title/tt7286456/?ref_=ev_nom,Satellite,2019,Best Costume Design,0,1
3,Judy,Jany Temime,https://www.imdb.com//title/tt7549996/?ref_=ev_nom,Satellite,2019,Best Costume Design,0,1
